70;Сборщик заказов; Пятёрочка. Склад, логистика;Красноярск;100000;3
71;Заместитель генерального директора по капитальному строительству;ТОО Компания ?нім;Шымкент;400000;6
72;Сборщик заказов; Пятёрочка. Склад, логистика;Омск;100000;3
73;Сборщик заказов; Пятёрочка. Склад, логистика;Самара;100000;7
74;Продавец-консультант;ООО ATTRANERGY TRADING;Ташкент;2000000;1
75;Контент-менеджер (удаленно);ИП Гришин Станислав Александрович;Новосибирск;18000;17
76;Account Manager; Wargaming, Minsk (Game Stream);Минск;100000;1
77;Офис-менеджер / Администратор (Помощник руководителя);ООО АРД;Краснодар;25000;20
78;Junior 3D Artist;ООО FuryLion.SPB;Санкт-Петербург;100000;19
79;Комплектовщик (Алтуфьево); ВкусВилл. Склад ;Москва;55000;16
80;Комплектовщик; ТУТ и ТАМ Логистикс;Минск;850;3
81;Сборщик заказов; Пятёрочка. Склад, логистика;Уфа;100000;17
82;Сборщик заказов; Пятёрочка. Склад, логистика;Екатеринбург;100000;12
83;Специалист по кадрам/экономист;Совместн. п. Тсин Эст Трейд;Борисов;755;9
84;Сборщик заказов; Пятёрочка. Склад, логистика;Воронеж;100000;8
85;Бухгалтер на участок банк-клиент; Магазины;Москва;100000;15
86;Охранник в порт; Кадровое агентство Страж;Тамань;85000;7
87;Администратор-охранник; Технопарк;Москва;50000;7
88;Сборщик заказов; Пятёрочка. Склад, логистика;Ростов-на-Дону;100000;13
89;Менеджер абонентского обслуживания (м. Московская); Контакт Сервис;Санкт-Петербург;32000;6
90;Курьер; Семья;Москва;30000;4
91;Курьер; Docdelivery;Москва;50000;5
92;Заместитель главного бухгалтера; MISSHA;Санкт-Петербург;70000;14
93;Рабочий на производство; БелЭко;Белгород;32000;18
94;Кладовщик-упаковщик; АгроДом;Москва;55000;9
95;Менеджер по продажам моторных масел на входящих заявках; Wecheap;Санкт-Петербург;56000;11
96;Помощник руководителя; WAZZUP;Москва;45000;14
97;Сборщик заказов; Пятёрочка. Склад, логистика;Нижний Новгород;100000;2
98;Архивист;ИП Сафин Марат Рафикович;Казань;32000;6
